# z: redshift z
# beta_median: median anisotropy at each z
# beta_68_lower / _upper: 68% credible interval bounds at each z (percentiles 16 and 84)
# beta_95_lower / _upper: 95% credible interval bounds at each z (percentiles 2.5 and 97.5)
# Columns: z, beta_median, beta_68_lower, beta_68_upper, beta_95_lower, beta_95_upper
z,beta_median,beta_68_lower,beta_68_upper,beta_95_lower,beta_95_upper
0.03000,0.55745,0.39173,0.68813,0.18053,0.79067
0.03636,0.54911,0.38442,0.67863,0.17412,0.77959
0.04273,0.54074,0.37672,0.66940,0.16669,0.76852
0.04909,0.53233,0.36907,0.66037,0.15990,0.75838
0.05545,0.52400,0.36130,0.65143,0.15279,0.74812
0.06182,0.51568,0.35319,0.64251,0.14558,0.73817
0.06818,0.50726,0.34525,0.63363,0.13756,0.72862
0.07455,0.49892,0.33703,0.62486,0.13007,0.71957
0.08091,0.49044,0.32858,0.61629,0.12173,0.71096
0.08727,0.48188,0.31975,0.60789,0.11346,0.70290
0.09364,0.47337,0.31112,0.59953,0.10532,0.69492
0.10000,0.46497,0.30238,0.59144,0.09730,0.68709
0.10636,0.45658,0.29317,0.58358,0.08806,0.68008
0.11273,0.44805,0.28393,0.57573,0.07911,0.67270
0.11909,0.43972,0.27460,0.56809,0.06931,0.66576
0.12545,0.43125,0.26491,0.56077,0.06008,0.65899
0.13182,0.42268,0.25517,0.55349,0.04982,0.65229
0.13818,0.41438,0.24537,0.54619,0.03991,0.64599
0.14455,0.40608,0.23548,0.53912,0.02920,0.63968
0.15091,0.39765,0.22538,0.53206,0.01779,0.63360
0.15727,0.38936,0.21534,0.52520,0.00649,0.62778
0.16364,0.38111,0.20496,0.51843,-0.00495,0.62221
0.17000,0.37278,0.19445,0.51175,-0.01687,0.61661
0.17636,0.36454,0.18410,0.50523,-0.02879,0.61151
0.18273,0.35618,0.17377,0.49884,-0.04136,0.60648
0.18909,0.34790,0.16301,0.49243,-0.05378,0.60150
0.19545,0.33978,0.15202,0.48620,-0.06687,0.59655
0.20182,0.33176,0.14121,0.47985,-0.07959,0.59172
0.20818,0.32363,0.13016,0.47384,-0.09367,0.58713
0.21455,0.31560,0.11902,0.46776,-0.10803,0.58242
0.22091,0.30749,0.10795,0.46176,-0.12246,0.57792
0.22727,0.29943,0.09662,0.45592,-0.13644,0.57372
0.23364,0.29134,0.08538,0.44999,-0.15107,0.56954
0.24000,0.28330,0.07397,0.44450,-0.16578,0.56551
0.24636,0.27533,0.06274,0.43898,-0.18062,0.56171
0.25273,0.26731,0.05140,0.43344,-0.19603,0.55784
0.25909,0.25936,0.03985,0.42779,-0.21101,0.55413
0.26545,0.25132,0.02836,0.42242,-0.22647,0.55042
0.27182,0.24334,0.01686,0.41696,-0.24168,0.54686
0.27818,0.23532,0.00538,0.41156,-0.25759,0.54346
0.28455,0.22743,-0.00638,0.40622,-0.27411,0.54026
0.29091,0.21952,-0.01821,0.40090,-0.29029,0.53698
0.29727,0.21155,-0.03000,0.39555,-0.30687,0.53371
0.30364,0.20363,-0.04178,0.39018,-0.32315,0.53033
0.31000,0.19560,-0.05371,0.38500,-0.33905,0.52732
0.31636,0.18762,-0.06547,0.37991,-0.35590,0.52415
0.32273,0.17979,-0.07732,0.37473,-0.37274,0.52103
0.32909,0.17187,-0.08929,0.36959,-0.38937,0.51786
